Sex,YOB,Handedness,Marital_Status,Education_Years,Retired,Language,Ethnicity,APOE4_Status,APOE_Alleles,APOE4_Dosage,CSF_Abeta_bl,CSF_Tau_bl,CSF_pTau_bl,GDS_Total,Depression_Binary,Hachinski_Score,ADAS_Total13,MMSE_Total,MoCA_Total,CDT_Total,CategoryFluency_Animals_Total,CategoryFluency_Animals_Pers,CategoryFluency_Animals_Intr,AVLT_T1,AVLT_T1_Err,AVLT_T2,AVLT_T2_Err,AVLT_T3,AVLT_T3_Err,AVLT_T4,AVLT_T4_Err,AVLT_T5,AVLT_T5_Err,AVLT_T6,AVLT_T6_Err,AVLT_ListB,AVLT_ListB_Err,AVLT_Delay30,AVLT_Delay30_Err,AVLT_Recognition,AVLT_Recognition_Err,TrailsA_Time,TrailsA_ErrCom,TrailsA_ErrOm,TrailsB_Time,TrailsB_ErrCom,TrailsB_ErrOm,FAQFINAN,FAQFORM,FAQSHOP,FAQGAME,FAQBEVG,FAQMEAL,FAQEVENT,FAQTV,FAQREM,FAQTRAVL,FAQ_Total
-0.10352976,-1.9563373,0.0,-0.0021844709,-0.03167484,0.0015570547,0.0,-0.03531185,-0.015671235,0.0,0.0,-0.23989667,-0.30721113,-0.4140611,0.03985887,0.0,-0.102265075,-0.10554453,-0.32573602,-0.13393837,-0.033618074,-0.020691955,-0.042035233,0.0,-0.2509709,-0.010712003,0.06802268,-0.054151513,-0.3480794,0.0071584242,-0.06208893,-0.002830804,0.1135012,0.0,-0.025751032,-0.028671972,-0.107460454,-0.007884493,0.03584366,0.030698404,0.004537984,-0.36085367,-0.36122346,0.0,0.0,0.0028810715,-0.112838745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012309821
0.011807991,-2.1466541,0.0,-0.00094646163,0.019947834,0.004182781,0.0,-0.02840756,-0.10799012,0.0,0.0,0.38160372,0.55493766,-0.23838593,0.047842883,0.0,0.06990904,-0.07648728,0.29980418,-0.29874265,-0.029892838,-0.069297634,-0.05288613,0.0,0.065622635,-0.008226359,0.04704041,-0.017249579,-0.18422402,0.009929825,-0.013720565,-0.007768802,-0.22366972,0.0,-0.06443359,-0.025460854,-0.098155506,-0.004000549,-0.037395373,-0.26157877,-0.052465063,-0.42631772,0.08933733,0.0,0.0,-0.2726544,0.032287903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012309821
-0.035227545,0.9383907,0.0,0.038825933,-0.36256483,-0.0012708837,0.0,-0.025461629,-0.0703216,0.0,0.0,0.53097856,1.2034951,0.5758843,0.13717441,0.0,-0.17189911,0.18055815,-0.32185453,-0.21069062,-0.003778778,-0.014760484,-0.054074604,0.0,0.09286995,-0.010452469,0.09776517,-0.03755998,-0.19122875,0.0055686976,0.095155895,0.018845338,0.17760195,0.0,0.04201115,-0.035009738,-0.07974723,0.0063046133,0.30587876,0.21238992,-0.026722167,-0.14378728,-0.08394456,0.0,0.0,0.1697922,-0.046847317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027219132
0.030238997,0.5471953,0.0,-0.0059457337,-0.005284441,0.004182781,0.0,-0.05294546,-0.043734465,0.0,0.0,-0.37576944,-0.38580605,-0.005413873,0.0350031,0.0,0.03412125,-0.042241115,-0.35174915,-0.32577327,-0.0036826534,-0.1704681,-0.026878254,0.0,0.00078214426,-0.009294929,0.078439675,-0.038253248,-0.08478746,0.011299623,-0.021447634,-0.007768802,0.055704013,0.0,0.020865845,0.044349298,-0.06447552,-0.005550209,-0.05962912,0.69601476,0.22230916,0.15291777,0.74588287,0.0,0.0,0.5469439,0.05437656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027219132
0.051488172,-0.353564,0.0,-0.0031173034,-0.031330284,0.0014853167,0.0,-0.027629495,-0.057949137,0.0,0.0,0.23937887,0.7886296,0.2489842,-0.17686482,0.0,0.06795037,-0.2246936,-0.27987003,-0.3398546,-0.01164928,0.08304679,0.004053723,0.0,-0.11658999,-0.0072630914,0.021184262,-0.03479773,-0.3864079,0.009075148,-0.012934759,-0.007768802,-0.19409943,0.0,-0.027825452,0.025264308,0.036824036,0.0023653186,-0.053146943,0.55476964,-0.051302176,0.36623392,-0.1759418,0.0,0.0,-0.8789388,0.01688519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027219132
-0.017632067,0.08195286,0.0,-0.01284029,-0.102336355,0.0015570547,0.0,-0.048692286,-0.03869481,0.0,0.0,-0.2487055,-0.39750266,0.09594109,0.055404887,0.0,-0.051526643,0.71220106,-0.20331442,-0.091833934,-0.009036265,0.092136845,0.004745027,0.0,-0.23059684,-0.014144709,0.056355294,-0.05023932,0.77205646,0.023881422,0.19240087,0.0057534175,0.1217503,0.0,0.03470742,0.017127683,-0.0635493,-0.021191888,0.31971833,0.11516613,-0.049124837,0.23108901,-0.2016888,0.0,0.0,-0.16267923,0.021129766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026102941
0.03321236,0.569658,0.0,0.009949865,0.022788022,0.0008613709,0.0,-0.027035706,-0.089842305,0.0,0.0,-0.35407907,1.2156473,0.2914504,-0.16585381,0.0,-0.14172176,-0.14545067,-0.49599493,0.07935585,-0.011596719,-0.09963842,-0.07607515,0.0,0.055084363,-0.0051520457,0.019795163,-0.043788172,-0.14247198,0.0063037477,-0.06349648,-0.007768802,0.10823779,0.0,-0.050662052,-0.020169765,-0.10937381,-0.0035793467,-0.05649518,-0.90394783,-0.034055997,-0.03227815,-0.0246645,0.0,0.0,0.07299282,-0.06265344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026102941
0.017330945,-2.228383,0.0,-0.002545223,0.05233801,0.0015570547,0.0,-0.029913902,-0.13542466,0.0,0.0,0.17236058,-0.2098615,-0.1662491,0.04195643,0.0,-0.0070410804,-0.15391159,0.34564513,0.19945684,-0.029421834,0.0030549674,-0.06166088,0.0,-0.044510223,0.05702319,0.06281629,-0.028125837,-0.19095777,0.0071584242,-0.040924408,-0.007768802,0.18503653,0.0,-0.0611374,-0.025226217,-0.19132388,-0.0043218834,-0.048092924,-0.31697696,-0.011119878,-0.30379817,-0.10618988,0.0,0.0,-0.14447474,0.023188906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012309821
-0.06625175,0.32732952,0.0,0.02839269,-0.13789147,0.0008774572,0.0,0.6898964,-0.06713073,0.0,0.0,-0.13540366,0.39368743,-0.10644883,0.05134298,0.0,0.017052265,-0.18584628,-0.33777276,-0.056204233,-0.0056391647,0.086759835,0.035554398,0.0,0.23505816,-0.023992006,0.086651474,-0.035340205,0.34426442,0.02356024,-0.08666126,-0.002830804,0.031316523,0.0,0.030213514,-0.019708859,-0.08747122,-0.021231677,-0.030263674,-0.334901,-0.0046995683,0.41225633,-0.08776555,0.0,0.0,-0.11870124,-0.12739727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027219132
-0.06639633,-0.6035738,0.0,-0.0014041585,0.046476614,-0.0033685118,0.0,-0.042425826,-0.11097954,0.0,0.0,0.0677755,-0.15971856,-0.48988634,-0.03198252,0.0,-0.15207943,-0.07851512,0.33424717,0.080886155,-0.009304086,-0.3177147,0.023022883,0.0,0.053927913,-0.013510158,0.04574659,-0.037866984,-0.2160286,0.008528223,-0.09642884,-0.002830804,-0.26935193,0.0,-0.052985117,-0.030761493,-0.103806525,-0.0083976,-0.052057497,-0.18129022,-0.05450495,-0.2638465,0.030096872,0.0,0.0,-0.31498182,-0.13673611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027219132
